week,workflow_id,intake_starts,qualified_rate,match_acceptance_rate,firm_response_hours,client_trust_score,case_readiness_score,data_quality_score
2026-W01,BA001,796,0.738,0.585,45.8,86.4,62.4,75.8
2026-W02,BA001,817,0.75,0.549,40.0,86.2,63.6,73.6
2026-W03,BA001,837,0.642,0.586,37.3,88.0,67.7,79.3
2026-W04,BA001,833,0.72,0.444,40.9,88.1,65.2,80.4
2026-W05,BA001,742,0.701,0.633,42.5,91,64.6,78.4
2026-W06,BA001,869,0.732,0.493,43.4,81.5,68.3,81.5
2026-W07,BA001,833,0.648,0.515,39.8,86.3,72.3,73.1
2026-W08,BA001,785,0.74,0.56,46.3,84.9,72.3,73.0
2026-W09,BA001,868,0.745,0.512,42.2,91,71.4,76.2
2026-W10,BA001,754,0.724,0.48,35.5,84.0,68.1,76.2
2026-W11,BA001,887,0.718,0.583,42.1,91,64.5,77.2
2026-W12,BA001,737,0.728,0.574,40.6,86.5,74.1,84.1
2026-W01,BA002,1043,0.643,0.603,50.9,76.9,77.9,83.3
2026-W02,BA002,1146,0.651,0.588,42.4,86.8,73.0,75.8
2026-W03,BA002,1060,0.697,0.58,43.5,82.9,65.8,83.0
2026-W04,BA002,1077,0.742,0.565,46.9,91,64.0,82.2
2026-W05,BA002,1036,0.684,0.556,31.6,81.5,63.4,77.6
2026-W06,BA002,960,0.742,0.576,32.8,88.0,68.9,77.2
2026-W07,BA002,1083,0.669,0.484,39.6,85.2,68.2,80.7
2026-W08,BA002,913,0.767,0.599,36.8,91,74.2,79.1
2026-W09,BA002,1097,0.688,0.463,37.6,91,71.2,69.5
2026-W10,BA002,917,0.747,0.509,46.4,80.1,78.3,82.2
2026-W11,BA002,968,0.761,0.627,35.6,87.4,71.3,79.5
2026-W12,BA002,1161,0.646,0.648,41.1,83.1,75.9,86.2
2026-W01,BA003,668,0.744,0.499,38.5,80.5,63.9,77.0
2026-W02,BA003,607,0.743,0.604,35.8,84.9,58.6,80.6
2026-W03,BA003,660,0.685,0.557,48.6,80.5,67.3,75.8
2026-W04,BA003,647,0.723,0.408,40.1,86.7,70.4,77.6
2026-W05,BA003,554,0.723,0.553,38.9,88.1,69.9,72.9
2026-W06,BA003,629,0.74,0.479,35.5,88.0,71.1,71.7
2026-W07,BA003,545,0.789,0.563,38.2,83.2,69.0,78.8
2026-W08,BA003,533,0.746,0.586,44.0,91,79.7,78.6
2026-W09,BA003,596,0.722,0.558,45.8,83.4,66.4,73.8
2026-W10,BA003,638,0.735,0.481,36.4,81.0,69.8,85.0
2026-W11,BA003,668,0.7,0.639,47.9,84.3,63.3,78.3
2026-W12,BA003,624,0.677,0.533,39.5,91,70.3,77.3
2026-W01,BA004,1467,0.685,0.433,46.3,86.1,65.1,76.4
2026-W02,BA004,1291,0.724,0.53,44.5,80.3,72.0,76.2
2026-W03,BA004,1465,0.726,0.488,40.3,82.0,65.5,72.7
2026-W04,BA004,1485,0.755,0.475,42.3,80.4,71.7,82.9
2026-W05,BA004,1450,0.683,0.541,35.7,85.2,66.9,73.5
2026-W06,BA004,1364,0.676,0.608,40.7,81.2,63.9,81.9
2026-W07,BA004,1405,0.741,0.542,38.0,80.4,77.3,73.1
2026-W08,BA004,1300,0.718,0.461,43.9,84.6,68.4,82.7
2026-W09,BA004,1564,0.668,0.509,43.2,80.4,69.1,70.3
2026-W10,BA004,1432,0.676,0.562,46.1,89.3,68.5,80.9
2026-W11,BA004,1287,0.737,0.553,43.6,77.8,79.1,85.5
2026-W12,BA004,1474,0.678,0.594,36.7,84.4,78.1,83.2
2026-W01,BA005,655,0.807,0.483,45.4,83.7,64.9,77.2
2026-W02,BA005,607,0.637,0.467,49.9,77.9,71.7,81.2
2026-W03,BA005,584,0.756,0.525,46.3,87.8,64.3,78.4
2026-W04,BA005,583,0.697,0.501,37.6,88.9,67.6,75.9
2026-W05,BA005,619,0.742,0.558,49.8,81.7,66.7,74.8
2026-W06,BA005,623,0.733,0.579,44.2,77.4,70.5,69.6
2026-W07,BA005,668,0.71,0.541,43.8,88.1,67.7,77.0
2026-W08,BA005,699,0.676,0.527,46.5,91,73.1,74.6
2026-W09,BA005,671,0.69,0.478,40.9,83.2,68.0,71.5
2026-W10,BA005,674,0.786,0.546,34.7,81.4,67.4,70.5
2026-W11,BA005,673,0.7,0.468,34.2,79.3,72.2,72.1
2026-W12,BA005,553,0.761,0.437,42.2,86.4,77.0,73.8
2026-W01,BA006,760,0.657,0.513,43.4,81.9,73.4,81.8
2026-W02,BA006,669,0.657,0.497,34.3,84.4,69.8,72.9
2026-W03,BA006,706,0.749,0.627,38.0,84.9,70.9,77.4
2026-W04,BA006,862,0.736,0.53,36.2,86.0,66.5,81.8
2026-W05,BA006,765,0.626,0.527,37.3,74.3,67.8,81.2
2026-W06,BA006,691,0.749,0.584,36.9,77.0,66.1,79.2
2026-W07,BA006,803,0.65,0.564,32.3,78.4,72.1,81.1
2026-W08,BA006,850,0.709,0.524,31.9,87.9,70.8,72.6
2026-W09,BA006,834,0.692,0.494,42.1,77.4,71.7,82.4
2026-W10,BA006,716,0.714,0.489,37.4,85.5,72.1,79.7
2026-W11,BA006,712,0.75,0.483,43.8,82.8,74.8,85.9
2026-W12,BA006,758,0.713,0.547,45.9,84.7,76.6,83.2
2026-W01,BA007,656,0.643,0.52,37.8,74.7,66.2,80.2
2026-W02,BA007,746,0.709,0.559,37.5,83.7,71.3,81.5
2026-W03,BA007,730,0.628,0.567,34.9,79.2,64.0,77.4
2026-W04,BA007,701,0.685,0.537,36.5,84.9,71.1,76.8
2026-W05,BA007,779,0.698,0.514,23.2,85.2,69.7,80.1
2026-W06,BA007,638,0.669,0.484,44.5,80.8,65.2,80.3
2026-W07,BA007,736,0.725,0.559,31.5,84.2,80.0,73.0
2026-W08,BA007,663,0.724,0.478,32.8,80.4,68.7,71.3
2026-W09,BA007,739,0.71,0.595,38.2,88.5,71.2,83.7
2026-W10,BA007,682,0.673,0.486,38.0,84.2,68.7,81.3
2026-W11,BA007,772,0.717,0.518,35.4,86.6,69.7,79.6
2026-W12,BA007,727,0.758,0.541,42.1,78.7,76.0,78.2
2026-W01,BA008,613,0.695,0.477,46.6,81.6,67.1,76.0
2026-W02,BA008,590,0.771,0.561,40.1,80.9,63.5,80.3
2026-W03,BA008,589,0.707,0.514,52.3,79.8,63.6,82.5
2026-W04,BA008,588,0.655,0.427,39.4,77.5,55.0,75.7
2026-W05,BA008,599,0.667,0.503,38.0,80.7,62.1,82.2
2026-W06,BA008,520,0.702,0.542,57.0,81.3,62.5,74.9
2026-W07,BA008,560,0.695,0.467,46.4,81.1,59.0,84.7
2026-W08,BA008,562,0.698,0.489,50.1,84.1,66.5,79.3
2026-W09,BA008,564,0.623,0.51,36.4,80.5,66.9,79.3
2026-W10,BA008,533,0.704,0.441,47.5,78.0,77.3,75.0
2026-W11,BA008,506,0.728,0.48,44.6,82.8,69.2,80.8
2026-W12,BA008,496,0.693,0.457,48.7,80.7,66.7,71.8
2026-W01,BA009,959,0.751,0.545,41.2,84.5,63.8,80.6
2026-W02,BA009,887,0.663,0.486,48.4,76.7,58.1,76.0
2026-W03,BA009,1053,0.655,0.576,40.4,83.5,63.8,84.0
2026-W04,BA009,903,0.697,0.549,38.6,79.7,69.7,74.9
2026-W05,BA009,931,0.731,0.559,46.7,81.1,71.1,80.4
2026-W06,BA009,1058,0.673,0.502,37.7,87.5,70.2,78.4
2026-W07,BA009,847,0.735,0.493,44.7,79.4,66.9,82.1
2026-W08,BA009,997,0.697,0.529,45.8,82.2,67.5,76.2
2026-W09,BA009,1032,0.676,0.465,39.3,83.6,69.8,83.7
2026-W10,BA009,1041,0.752,0.507,46.5,82.2,67.5,77.2
2026-W11,BA009,1051,0.63,0.547,44.4,84.6,70.2,78.9
2026-W12,BA009,1061,0.686,0.52,40.9,87.6,74.6,77.3
2026-W01,BA010,849,0.658,0.592,48.7,78.4,64.6,79.5
2026-W02,BA010,912,0.744,0.44,46.9,80.4,56.5,74.4
2026-W03,BA010,1033,0.695,0.543,42.0,82.5,64.0,78.0
2026-W04,BA010,1023,0.632,0.53,33.0,78.7,66.8,80.2
2026-W05,BA010,1002,0.64,0.566,49.1,81.0,62.2,76.4
2026-W06,BA010,1004,0.742,0.536,39.8,82.5,69.0,78.2
2026-W07,BA010,844,0.682,0.544,47.0,80.2,72.3,78.9
2026-W08,BA010,894,0.656,0.566,47.4,81.2,68.8,80.4
2026-W09,BA010,838,0.657,0.509,42.2,80.8,70.7,80.7
2026-W10,BA010,1048,0.732,0.532,47.0,75.0,68.4,73.0
2026-W11,BA010,851,0.712,0.476,43.6,90.8,75.9,78.0
2026-W12,BA010,893,0.698,0.537,34.0,84.4,72.2,76.6
